AB,ÁREA DA BACIA
ACH,ÁREA CONTAMINADA (Ha)
AI,ÁREA INUNDADA (Ha)
AR,ÁREA REQUERIDA NO DNPM (Ha)
ATH,ÁREA TOTAL (Ha)
ATM,AREA TOTAL (m2)
AUH,ÁREA ÚTIL (Ha)
AUM,AREA UTIL (m2)
CA,CLIENTELA ATENDIDA (Mensal)
CAM,CAPACIDADE DE ARMAZENAMENTO (m3)
CAT,CAPACIDA DE ARMAZENAMENTO (Ton.)
CIC,CAPACIDADE INDUSTRIALIZADA DE CRIA/RECRIA (Unidade/Ano)
CPK,COMPRIMENTO (Km)
CPM,COMPRIMENTO (Metro)
CQ,CAPACIDADE DE QUEIMA (Kg/h)
ED,ECLUSAGEM (Dia)
MCM,MOVIMENTO DE CARGA (Ton./Mês)
MDC,METROS CÚBICO DE CARVÃO (m³)
MTM,MOVIMENTAÇÃO (Ton./Mês)
,NÚMERO DE AVES (Abate / Postura)
NAP,NÚMERO DE APARTAMENTO
NB,NÚMERO DE BANHEIROS
NCA,NÚMERO DE CABEÇA (Ano)
NCC,N° DE CABEÇAS / CRIAÇÃO (Unidade)
NCD,NÚMERO DE CAMINHÃO DIA
NCM,NÚMERO DE CABEÇA MÊS
NCO,NÚMERO DE COLMEIAS (Unidades)
NDC,N° DE CABEÇAS (Unidade/Dia)
NI,NÚMERO DE INDIVÍDUOS
NJ,NÚMERO DE JAZIGOS
NL,NÚMERO DE LEITOS (Unidade)
NP,NÚMERO DE PESSOAS (Unidade)
NSA,NÚMERO SITE/ANTENA (Unidade)
NUH,NÚMERO DE UNIDADES HABITACIONAIS (Unidade)
NV,N° VEÍCULOS/EMBARCAÇÕES/AERONAVES (Unidade)
P,POTÊNCIA (Kw)
PA,POPULAÇÃO ATENDIDA EM N° DE HABITANTES (Unidade)
PK,POTÊNCIA (KVA)
T,Tensão (kV)
UPF/PA,UNIDADE PADRÃO FISCAL DO ESTADO DO PARÁ
V,VOLUME (m3)
VC,VOLUME CONSUMIDO (m3/tora/dia)
VCA,VOLUME CONSUMIDO ANUAL SERRADA/RESÍDUOS/APARAS E SOBRAS/APROVEITAMENTO (m³/ano)
VCL,VOLUME CAPTADO (l/dia)
VCM,VOLUME CAPTADO (m³/dia)
VCR,VOLUME DE CRÉDITO DE REPOSIÇÃO (m³)
VD,VOLUME DE DILUIÇÃO (m³/h)
VL,VOLUME DE LÂMINAS (m³/dia)
VM,VOLUME DE MATERIAL MOVIMENTADO (m³)
VMC,VOLUME DE MATERIAL CONTAMINADO (m³)
VMM,VOLUME DE MATERIAL MENSAL (m³/mês)
VMS,VOLUME DE MADEIRA SERRADA (m³/dia)
VPA,"VOLUME PRODUZIDO ANUAL SERRADO, LAMINADO/FAQUEADO (m³/ano)"
VPC,VOLUME PRODUZIDO/CONSUMIDO (m3/dia)
VPK,VOLUME DE PRODUÇÃO (Kg/mês)
VPL,VOLUME DE PRODUÇÃO (l/dia)
VPM,VOLUME DE PRODUCAO (m3/mês)
VPP,VOLUME DE PRODUÇÃO (peça/dia)
VPTA,VOLUME DE PRODUÇAÕ (t/ano)
VPTD,VOLUME DE PRODUÇÃO (t/dia)
VPTM,VOLUME DE PRODUCAO (t/mês)
VR,VOLUME REMEDIADO (t)
VRD,VOLUME DE REFEIÇÃO PRODUZIDA POR DIA
VRM,VOLUME DE RESÍDUO DE MADEIRA (m³/dia)
VSP,VELOCIDADE DE SAÍDA DE POLUENTES ATMOSFÉRICO (m / s)
VT,VOLUME TRANSPORTADO (m³)
VTD,VOLUME TRATADO (m³/dia)
≤,MENOR OU IGUAL
